Id,Description,Subtitle,Title,AgeRange,Author,Country,CoverImageUrl
books/2209,"When a girl calls Brunette a ‘coconut’, the Siyagruvers suddenly notice the\r\ndifferences between life in the suburbs and life in the townships or on the Cape Flats.\r\n\r\nThey have to do something about it – but what? And, hey, how come Shelley’s\r\nmom (of all people) is riding around the townships as if it’s her turf?",null,Mom's Taxi,13-18 years,Mteto Mzongwana; Onele Mfeketo & Orbin Lamna,South Africa,http://farm9.staticflickr.com/8120/8704454964_2aec698ba3_m.jpg
books/5569,"Ntombazanana ithile ithi ibize uBrunette ngokuba uyi-'coconut', nto leyo ethi yneze abadanisi bakwaSiyagruva ukuba baqaphele iyantlukwano kubomi babantu abahlala ezidolophini nabo bahlala exilokishini okanye koomaCape Flats. Kufuneka benze into ngaloo nto - kodwa ke yintoni ngenene ekufanele bayenze? Tyhini! Yena umama kaShelley (kubo bonke abantu) kutheni enyuka esihla ezilokishini ngathi sisigodi sakhe nje esi?\r\n",null,"KHWELA-KHWELA,YIMOTO KAMAMA",13-18 years,"Meteto Mzongwana, Onele Mfeketo and Orbin Lamna",South Africa,http://farm9.staticflickr.com/8543/8700316171_f6772ecf8f_m.jpg
books/5570,Why is Zadie spending so much time riding up-front in a taxi? Should Regan keep waiting for her at the dance studio? Is this what he got out of the gangs for? What will happen when police sniffer dogs come to school?\r\n,null,"TROUBLES,TAXIS and TOILETS",13-18 years,Ann Schlebusch,South Africa,http://farm9.staticflickr.com/8113/8703340001_cd99d4ac63_m.jpg
books/5571,"The Siyagruvers go dancing the length and breadth of Namibia. That's the definition of paradise, right? So why are there hassles? What's with Mncedisi? Why's Brunette suddenly off-centre? And what's up with Thabiso, of all people?\r\n",null,NAMIBIAN KWAITO,13-18 years,Colleen Moroukina and Brion Mnala,South Africa,http://farm9.staticflickr.com/8560/8701434892_8786f8c6cb_m.jpg
books/5572,"Usaka ekuvumbululeni izinto ezindala etiphini ukuya kuthwasela ubugqirha,ukusuka ekulahleni ithemba ukuya ekudaniseni! Oku kwenzeka kuMncedisi emva kokuba yena nomama wakhe bedfudukele edolophini. Abanye abantu bayabizwa ukuze bazalisekise inxaxheba nomsebenzi wabo ezinsatsheni zabo nasekuhleni. Wena ungaluthatha olu hambo kufanele luthathwe nguMncedisi?\r\n",null,LAJUXUZ'IGQIRHA LEMK'ETIPHINI,13-18 years,"Russell Kaschula,P Maseko and X  Guzula ",South Africa,http://farm9.staticflickr.com/8254/8701444566_45e97a8ce0_m.jpg
books/2817,"In March 2000, a suitcase arrived at a children’s Holocaust education centre in Tokyo, Japan. On the outside, in white\r\npaint were these words: Hana Brady, May 16, 1931, and Waisenkind – the German word for orphan. Children who\r\nsaw the suitcase on display were full of questions. Who was Hana Brady? What happened to her? They wanted Fumiko\r\nIshioka, the center’s curator, to find answers. The mystery of the suitcase takes her back 70 years, to uncover the heartbreaking story of Hana, an 11-year-old Jewish girl, whose happy life in a small Czech town was ended by the Nazi invasion. Deported to Terezin concentration camp, Hana’s life ended in the gas chamber at Auschwitz.",null,Hana's Suitcase,13-18 years,Karen Levine,International,http://farm9.staticflickr.com/8548/8704434074_a10cfd34e1_m.jpg
books/2273,"Remember, there are people affected by HIV as well as people infected by HIV. This is something Brunette and Samantha\r\nhave no reason to worry about, until they go on holiday to the home of Brunette’s mother in Soweto. Suddenly they’re living with HIV and have to learn – quick!",null,In the Fast Lane,13-18 years,Nokuthula Mazibuko,South Africa,http://farm9.staticflickr.com/8269/8703334973_c2dd773e20_m.jpg
books/2305,"From the dumps to divining, from despair to\r\ndancing! This happens to Mncedisi when he and his mother come to the city.\r\nSome people are called to fulfil their role and\r\nresponsibility to family\r\nand community. Could you travel the journey\r\nMncedisi has to?",null,Divine Dump Dancer,13-18 years,Russell H Kaschula,South Africa,http://farm9.staticflickr.com/8276/8704459654_26eca1398d_m.jpg
books/2433,"‘Buckingham Palace’ is a dingy row of five houses in the heart of District Six, a vibrant community at the foot of Table Mountain overlooking Cape Town. Richard Rive’s classic novel traces this close community through its moments of triumph and despair, its loves, its hatreds – and its bizarre\r\ncharacters. In 1966 parts of District Six were declared for white occupation only, in terms of South Africa’s notorious Group Areas Act. The inhabitants were forced to leave for the\r\nbleak wastelands of the Cape Flats. This edition incorporates teaching notes and discussion points by Robin Malan.",null,Buckingham Palace: District Six,13-18 years,Richard Rive,South Africa,http://farm9.staticflickr.com/8256/8703331311_73296b1635_m.jpg
books/2082,"A glam god of a dance champion from overseas enters the Siyagruvers’\r\nlives. Will some longstanding friendships\r\nsurvive this? The whole idea of student exchanges comes into focus for Samantha, but she finds that her parents\r\nhave a very different idea from hers!",null,Jacques Attack,13-18 years,Karen Jeynes & Nkuli Sibeko,South Africa,http://farm9.staticflickr.com/8400/8703504133_ac9ccc2fb4_m.jpg
books/5601,"Khumbula ukuba kukho abantu abathi bengenayo intsholongwane kaGawulayo,iHIV Kodwa bachaphazeleke ngeendlela ezithike,bakhona  nabachaphazeleka ngojuthi babe nayo ngqo le ntsholongwane. Ubrunette noSamantha zange bazikhathaza ngoku de baya eholideyini kumama kaBrunette eSoweto. Bazifumana,ngesaquphe,sele bephila neHIV kwaye kufuneka befundile - ngokukhawuleza!\r\n",null,OOMASHAYELA PHEZULU,13-18 years,N Mazibuko and X Guzula,South Africa,http://farm9.staticflickr.com/8393/8703507555_e500e87aaa_m.jpg
books/2369,"The Siyagruvers have some community work to do on the Cape Flats, and so they spend the weekend at Regan’s\r\nflat – and they find the place rocks! They’re into things they never knew\r\nhappened in their city. But ... will Shelley’s mom find out?",null,Weekend Away,13-18 years,Duane Jethro,South Africa,http://farm9.staticflickr.com/8402/8703501617_e55e269dd6_m.jpg
books/2146,Why is Zadie spending so much time riding\r\nup-front in a taxi? Should Regan keep\r\nwaiting for her at the dance studio? Is this\r\nwhat he got out of the gangs for? What will\r\nhappen when the police sniffer dogs come to\r\nschool?,null,"Troubles,Taxis and Toilets",13-18 years,Anne Schlebusch,South Africa,http://farm9.staticflickr.com/8113/8703340001_cd99d4ac63_m.jpg
books/2401,"Thabiso never talks about\r\nhis accident – can’t he face up to it? Rashaad\r\nmay be accepting what he is sexually, but what is he socially? He tries a few experiments. Regan is caught between his old gang life and the movie world!",null,No Problem Man,13-18 years,Biron Alnam,South Africa,http://farm9.staticflickr.com/8276/8704453326_fc55b55c61_m.jpg
books/1985,111 Colleen Court is the story of Farieda who grows up under Apartheid in Manenberg on the Cape Flats during the youth uprisings of 1976. Then the\r\nuntimely death of her father changes her life forever ...\r\n111 Colleen Court is also\r\navailable in Afrikaans as Colleenhof 111.,null,111 Colleen Court,13-18 years,Mohammed Ismael Davids,South Africa,http://farm9.staticflickr.com/8407/8704872650_f24e5a2eb9_m.jpg
books/2465,"In I am an African, young refugees and asylum seekers tell their stories. In their own words, they recall their experiences of fleeing from war, and describe how they have managed to adapt to life in a new country. They also show that these\r\nyoung people are not much different from young South Africans – they too like music, sport and having fun. I am an African is an effective resource that can be used\r\nby and with groups of adolescents and young people and it includes activity ideas to assist facilitators in presenting the material. The stories can also be read and enjoyed as\r\nthought-provoking and moving biographical accounts.",null,I Am an African,13-18 years,Joan Bloch & Sue Heese,South Africa,http://farm9.staticflickr.com/8129/8703748259_cb9119eba0_m.jpg
books/1313,"To his new friends, Ben’s life doesn’t seem so bad. But the reality is that Ben’s life is in danger, and that of his young sister.\r\nWill Ben be able to protect himself and young Lindiwe? If only he could give in to the threats and join the gang, they’d be safe.\r\nBut doing that would mean surrendering his dream. What will Ben decide, and will he ever realise his dangerous dream?",null,The dangerous dream of Ben Maludzi,13-18 years,Christa Laird,South Africa,http://www.shuters.com/media/k2/items/cache/398a8bc2e3f7f879ff0986359513be80_S.jpg
books/5633,"Themba is unhappy. His beloved brother passed away, and now his mother is making him do his matric year at Harmony High, far away from his old home and friends. What’s more, his mother now spends all her time drinking, leaving Themba to make his own way. Then he meets the gorgeous Lettie and even tough guy Prince befriends him at school. But how far is Themba prepared to go to be part of Prince’s gang? And when Lettie is threatened by rival gangsters, Themba has to make some of the most difficult decisions of his life.",null,From Boys to Men,13-18 years,Londi Gamedze and Dorothy Dyer,South Africa,http://cover2cover.co.za/wp-content/uploads/2013/03/From-boys-to-men-Cover-180x300.jpg
